,Make,Model,Variant,Ex-Showroom_Price,City_Mileage,Cylinders,Highway_Mileage,Drivetrain,Emission_Norm,Fuel_Type,Body_Type,Kerb_Weight,Gears,Ground_Clearance,Power_Steering,Power,Doors,Type,Audiosystem,Aux-in_Compatibility,Boot_Space,Child_Safety_Locks,Number_of_Airbags
823,Volvo,Xc90,D5 Momentum,8090000,13.2,4.0,15.7,AWD (All Wheel Drive),BS IV,Diesel,SUV,2910,8,218.0,Electro-Hydraulic,225PS@4250RPM,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,530,Yes,6.0
824,Volvo,Xc90,T8 Excellence,13124000,5.0,4.0,15.7,AWD (All Wheel Drive),BS IV,Hybrid,SUV,2910,8,218.0,Electro-Hydraulic,407ps@5700rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,530,Yes,6.0
825,Volvo,Xc90,T8 Inscription,9665000,5.0,4.0,15.7,AWD (All Wheel Drive),BS IV,Hybrid,SUV,2962,8,238.0,Electro-Hydraulic,320bhp,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,300,Yes,7.0
826,Volvo,Xc90,D5 R-Design,8491500,13.2,4.0,15.7,AWD (All Wheel Drive),BS IV,Diesel,SUV,2962,8,218.0,Electro-Hydraulic,235 bhp @ 4250 rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,530,Yes,6.0
827,Land Rover,Range Sport,5.0L V8 Svr Petrol,20517853,13.2,8.0,15.7,4WD,BS IV,Petrol,SUV,2310,8,218.0,Electric Power,567bhp@6000-6500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,530,Yes,6.0
828,Land Rover,Range Sport,2.0L S Petrol,8670586,13.2,8.0,15.7,4WD,BS IV,Petrol,SUV,2083,8,295.5,Electric Power,296bhp@5500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,530,Yes,8.0
829,Land Rover,Range Sport,2.0L Se Petrol,9448181,13.2,8.0,15.7,4WD,BS IV,Petrol,SUV,2083,8,295.5,Electric Power,296bhp@5500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,530,Yes,8.0
830,Land Rover,Range Sport,3.0L V6 Se Petrol,11476911,13.2,6.0,15.7,4WD,BS IV,Petrol,SUV,2134,8,295.5,Electric Power,335bhp@6500RPM,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,909,Yes,8.0
831,Land Rover,Range Sport,2.0L Hse Petrol,15600000,13.2,8.0,15.7,4WD,BS IV,Petrol,SUV,2687,8,295.5,Electric Power,296bhp@5500rpm,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,909,Yes,8.0
832,Land Rover,Range Sport,3.0L V6 Hse Petrol,13228725,13.2,6.0,15.7,4WD,BS IV,Petrol,SUV,2134,8,295.5,Electric Power,335bhp@6500RPM,5.0,Automatic,CD/MP3/DVD Player with USB & Aux-in,Yes,909,Yes,8.0
